Generation Number,AllD Count,pDisc Count,Disc Count,AllC Count,AllD Ratio,pDisc Ratio,Disc Ratio,AllC Ratio,
126000,50,0,0,0,1.0,0.0,0.0,0.0,,
126300,50,0,0,0,1.0,0.0,0.0,0.0,,
126600,50,0,0,0,1.0,0.0,0.0,0.0,,
126900,50,0,0,0,1.0,0.0,0.0,0.0,,
127200,50,0,0,0,1.0,0.0,0.0,0.0,,
127500,50,0,0,0,1.0,0.0,0.0,0.0,,
127800,50,0,0,0,1.0,0.0,0.0,0.0,,
128100,50,0,0,0,1.0,0.0,0.0,0.0,,
128400,50,0,0,0,1.0,0.0,0.0,0.0,,
128700,48,0,2,0,0.96,0.0,0.04,0.0,,
129000,50,0,0,0,1.0,0.0,0.0,0.0,,
129300,50,0,0,0,1.0,0.0,0.0,0.0,,
129600,50,0,0,0,1.0,0.0,0.0,0.0,,
129900,50,0,0,0,1.0,0.0,0.0,0.0,,
130200,50,0,0,0,1.0,0.0,0.0,0.0,,
130500,50,0,0,0,1.0,0.0,0.0,0.0,,
130800,50,0,0,0,1.0,0.0,0.0,0.0,,
131100,50,0,0,0,1.0,0.0,0.0,0.0,,
131400,50,0,0,0,1.0,0.0,0.0,0.0,,
131700,50,0,0,0,1.0,0.0,0.0,0.0,,
132000,50,0,0,0,1.0,0.0,0.0,0.0,,
132300,48,0,2,0,0.96,0.0,0.04,0.0,,
132600,50,0,0,0,1.0,0.0,0.0,0.0,,
132900,50,0,0,0,1.0,0.0,0.0,0.0,,
133200,50,0,0,0,1.0,0.0,0.0,0.0,,
133500,50,0,0,0,1.0,0.0,0.0,0.0,,
133800,50,0,0,0,1.0,0.0,0.0,0.0,,
134100,50,0,0,0,1.0,0.0,0.0,0.0,,
134400,50,0,0,0,1.0,0.0,0.0,0.0,,
134700,50,0,0,0,1.0,0.0,0.0,0.0,,
135000,50,0,0,0,1.0,0.0,0.0,0.0,,
135300,50,0,0,0,1.0,0.0,0.0,0.0,,
135600,50,0,0,0,1.0,0.0,0.0,0.0,,
135900,50,0,0,0,1.0,0.0,0.0,0.0,,
136200,50,0,0,0,1.0,0.0,0.0,0.0,,
136500,50,0,0,0,1.0,0.0,0.0,0.0,,
136800,50,0,0,0,1.0,0.0,0.0,0.0,,
137100,50,0,0,0,1.0,0.0,0.0,0.0,,
137400,50,0,0,0,1.0,0.0,0.0,0.0,,
137700,50,0,0,0,1.0,0.0,0.0,0.0,,
138000,50,0,0,0,1.0,0.0,0.0,0.0,,
138300,50,0,0,0,1.0,0.0,0.0,0.0,,
138600,50,0,0,0,1.0,0.0,0.0,0.0,,
138900,50,0,0,0,1.0,0.0,0.0,0.0,,
139200,50,0,0,0,1.0,0.0,0.0,0.0,,
139500,48,0,1,1,0.96,0.0,0.02,0.02,,
